name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2020-01-01,34.3,14.8,24.1,32.4,14.8,23.5,12,54.5,0,0,0,,,,,22.3,49.4,1010.9,3.3,5.3,238.9,20.6,8,,2020-01-01T06:32:28,2020-01-01T18:16:28,0.2,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-02,33.6,14.1,23.4,31.3,14.1,22.6,9.3,49.6,0,0,0,,,,,29.5,56.9,1011.9,8.9,5.7,246.2,21.2,9,,2020-01-02T06:32:54,2020-01-02T18:16:59,0.23,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-03,32.6,16.7,23.8,30.4,16.7,23.2,7.2,38.4,0,0,0,,,,,18.4,7.9,1012.6,16.2,4.3,246.4,21.2,9,,2020-01-03T06:33:19,2020-01-03T18:17:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-04,32.1,16.6,23.2,29.9,16.6,22.6,6,37.7,0,0,0,,,,,33.5,354.9,1012.7,6.4,2.5,242.6,20.9,9,,2020-01-04T06:33:43,2020-01-04T18:18:01,0.3,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-05,34.1,15.5,23.8,31.6,15.5,23.1,7.2,40.5,0,0,0,,,,,18.4,359,1011.7,6.3,2.5,233.3,20.1,9,,2020-01-05T06:34:07,2020-01-05T18:18:31,0.33,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-06,34.1,14.1,24,31.8,14.1,23.2,9.5,48.4,0,0,0,,,,,18.4,331.2,1010.7,13.3,2.9,243.3,21.1,9,,2020-01-06T06:34:30,2020-01-06T18:19:02,0.36,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-07,35.2,16.1,24.5,33,16.1,24,12.2,53.6,0,0,0,,,,,14.2,323.3,1010.3,5.1,3.1,243.5,21.1,9,,2020-01-07T06:34:52,2020-01-07T18:19:32,0.39,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-08,35.1,17.1,25.8,34.4,17.1,25.8,15.4,56.2,0,0,0,,,,,11.2,275,1011.3,8.2,3.2,224.2,19.3,8,,2020-01-08T06:35:14,2020-01-08T18:20:02,0.43,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-09,35.1,19.1,26.6,34.8,19.1,26.7,17.4,61.5,0,0,0,,,,,14.8,336.1,1011.2,12.8,2.9,209.8,18,8,,2020-01-09T06:35:35,2020-01-09T18:20:32,0.46,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-10,36.1,20.1,27.2,34.8,20.1,27.4,17.8,62.3,0,0,0,,,,,14.2,314.1,1012,11.8,3.9,195.9,16.9,7,,2020-01-10T06:35:55,2020-01-10T18:21:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-11,34.1,22.7,27.4,37.4,22.7,28.9,21.6,72.9,0,0,0,,,,,11.2,297.6,1012.8,38.2,4.9,177.6,15.2,6,,2020-01-11T06:36:14,2020-01-11T18:21:30,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2020-01-12,36.1,23.7,28.7,37.8,23.7,29.9,20.7,65.8,0,0,0,,,,,14.8,319,1011.1,37.9,4.5,173.7,15.1,6,,2020-01-12T06:36:33,2020-01-12T18:21:59,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2020-01-13,36.3,19.1,27.6,34,19.1,26.9,14.2,53,0,0,0,,,,,22.3,8.8,1010,9.8,4.2,226.1,19.6,8,,2020-01-13T06:36:51,2020-01-13T18:22:27,0.6,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-14,35.1,17.1,25.9,32.7,17.1,25.1,10.2,43.1,0,0,0,,,,,22.3,30.8,1010,1.8,3.7,244.6,21.3,9,,2020-01-14T06:37:08,2020-01-14T18:22:55,0.63,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-15,36.1,17.7,26.2,33.6,17.7,25.3,10.2,44.8,0,0,0,,,,,18.4,359.8,1010.4,5.5,3.9,234.7,20.2,8,,2020-01-15T06:37:24,2020-01-15T18:23:22,0.67,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-16,37.3,17.1,26,34.7,17.1,25.3,12.1,50.6,0,0,0,,,,,18.4,7.8,1011.8,6.9,3.6,257.3,22,9,,2020-01-16T06:37:39,2020-01-16T18:23:49,0.7,Clear,Clear conditions throughout the day.,clear-day,"65562099999,remote,65563099999"
ivory coast,2020-01-17,36.3,20.1,27.3,36.4,20.1,27.6,17.7,60.8,0,0,0,,,,,22.3,272,1012,28.3,4.9,249.8,21.6,9,,2020-01-17T06:37:54,2020-01-17T18:24:16,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2020-01-18,35.1,23.1,28.1,37.8,23.1,29,20.2,65.4,0,0,0,,,,,17.7,311.2,1011.9,27.9,5.5,246.8,21.2,9,,2020-01-18T06:38:07,2020-01-18T18:24:42,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2020-01-19,36.1,20.1,27.1,34.2,20.1,26.5,14.7,55.2,0,0,0,,,,,14.8,8,1010.5,20.6,4.6,240,20.7,9,,2020-01-19T06:38:20,2020-01-19T18:25:07,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
