name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2017-05-01,33.1,24.5,28.4,40.6,24.5,31.7,24.3,80.3,0,0,0,,,,,18.1,223.6,1011.5,64.5,10,247.2,21.3,9,,2017-05-01T06:07:17,2017-05-01T18:29:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-02,33.1,22,27,40.6,22,29.8,23.7,83.7,7.724,100,4.17,rain,,,,14.5,247.1,1010.8,75.3,9.6,265.1,22.8,9,,2017-05-02T06:07:00,2017-05-02T18:29:13,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-03,33.1,23,27.1,42,23,29.7,23.9,84.1,0,0,0,,,,,14.8,239.4,1011,78.4,9.6,282.6,24.4,10,,2017-05-03T06:06:45,2017-05-03T18:29:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-04,32,22.7,26.4,37.9,22.7,28.6,23.6,85.8,19.373,100,4.17,rain,,,,37.1,226.3,1011.1,67.6,9,158.8,13.7,5,,2017-05-04T06:06:30,2017-05-04T18:29:20,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-05,32.1,22.8,27,36.9,22.8,29.5,23.7,83.1,3.741,100,8.33,rain,,,,14.8,217.6,1012.1,67.8,9.2,261.6,22.6,9,,2017-05-05T06:06:16,2017-05-05T18:29:24,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-06,35,23.7,28,40,23.7,31.1,24.4,82.5,0,0,0,,,,,12.6,213,1011.2,50.9,9.9,286.9,24.8,10,,2017-05-06T06:06:02,2017-05-06T18:29:28,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-07,31.1,24.6,27.6,38.4,24.6,30.1,24.3,83.3,0.332,100,4.17,rain,,,,18.4,187.8,1010.7,63.4,9.8,214.7,18.3,7,,2017-05-07T06:05:49,2017-05-07T18:29:33,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-08,32.2,24,27.6,37.7,24,29.9,23.7,81,0.2,100,8.33,rain,,,,11.2,163.9,1010.8,70.7,9,209.1,18.1,7,,2017-05-08T06:05:37,2017-05-08T18:29:39,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-09,33.9,23.2,27.2,39.3,23.2,28.9,23.1,80.2,0,0,0,,,,,14.8,230.7,1010.5,55.2,9.2,264.4,22.7,9,,2017-05-09T06:05:25,2017-05-09T18:29:45,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,DIYO,remote,DIDK,65563099999"
ivory coast,2017-05-10,34,23.9,28.3,40.6,23.9,31.5,24,79.6,0,0,0,,,,,18.4,212.3,1010.8,57.9,9.1,281.4,24.2,10,,2017-05-10T06:05:14,2017-05-10T18:29:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,DIYO,remote,DIDK,65563099999"
