name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2023-09-18,30.1,22.1,25.3,35.2,22.1,26.5,23.5,90.3,22.923,100,8.33,rain,0,0,29.5,14.8,201.6,1011.3,88.1,10.2,229.2,19.9,9,60,2023-09-18T06:11:07,2023-09-18T18:19:37,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-19,30.1,22.5,25.3,35.2,22.5,26.7,23.4,89.8,10.3,100,37.5,rain,0,0,25.6,14.8,208.2,1011.7,84.7,14.6,271.8,23.6,10,60,2023-09-19T06:10:57,2023-09-19T18:19:04,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-20,33.1,21.9,26.5,39.4,21.9,28.4,23.6,85.2,0.4,100,4.17,rain,0,0,25.2,7.6,214.3,1012.2,72.4,10.5,256.5,22.3,9,60,2023-09-20T06:10:47,2023-09-20T18:18:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,65563099999"
ivory coast,2023-09-21,34.1,22.5,27.1,40.7,22.5,29.1,23.8,84.2,0.3,100,4.17,rain,0,0,18,11.2,224.2,1011.9,76.6,11.9,257.3,22.2,9,60,2023-09-21T06:10:37,2023-09-21T18:17:59,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-22,31.1,21.4,26.1,36.7,21.4,28.2,23.4,86,0.111,100,4.17,rain,0,0,24.1,7.6,199,1011.8,83.6,10.5,258.1,22.3,9,60,2023-09-22T06:10:27,2023-09-22T18:17:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-23,32.2,23.1,26.4,38,23.1,28.5,23.6,85.9,5.406,100,8.33,rain,0,0,27,11.2,221.9,1012.1,75.8,10.5,271.6,23.5,10,60,2023-09-23T06:10:17,2023-09-23T18:16:55,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-24,28.5,22,24.7,32.9,22,25.5,23.4,93.1,20.373,100,8.33,rain,0,0,22.7,7.6,234,1013.2,83.5,9.8,210.8,18.2,8,60,2023-09-24T06:10:07,2023-09-24T18:16:22,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-25,32.1,21.9,26.4,36.9,21.9,28.2,23.6,86.1,0.074,100,4.17,rain,0,0,17.3,7.6,192.6,1013.1,72.1,10.4,235.7,20.3,10,60,2023-09-25T06:09:57,2023-09-25T18:15:50,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-26,32.1,21.9,26.2,38,21.9,27.9,23.7,86.9,0,0,0,rain,0,0,14.8,7.6,192.8,1012.3,75.9,9,200.5,17.4,8,60,2023-09-26T06:09:48,2023-09-26T18:15:18,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-09-27,33.1,21.7,26.3,38.7,21.7,28,23.7,87.2,1.2,100,8.33,rain,0,0,12.6,11.2,234.6,1011.3,55.6,11.3,282.4,24.2,9,75,2023-09-27T06:09:38,2023-09-27T18:14:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-28,32.7,22,26.6,40,22,28.6,23.8,85.4,4,100,20.83,rain,0,0,21.6,14.8,202,1010.6,59.9,13.9,240.1,20.7,8,60,2023-09-28T06:09:29,2023-09-28T18:14:15,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-09-29,34.1,22.3,27.6,40.7,22.3,30.1,24.2,83.1,0,0,0,rain,0,0,22.3,7.6,214.5,1011.6,68.4,10.9,203.3,17.4,8,30,2023-09-29T06:09:20,2023-09-29T18:13:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-09-30,32.3,22.6,26.2,39.3,22.6,27.6,24.1,89.5,8.074,100,4.17,rain,0,0,13.3,11.2,210.5,1011.6,77.6,9.2,249.9,21.5,9,60,2023-09-30T06:09:11,2023-09-30T18:13:13,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-01,33.3,24,27.1,40.7,24,29.5,24.4,86.5,12.816,100,8.33,rain,0,0,27.7,14.8,203.2,1011.3,65.7,8.9,216.9,18.8,9,60,2023-10-01T06:09:03,2023-10-01T18:12:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,65563099999"
ivory coast,2023-10-02,31.1,22.4,26.2,36.7,22.4,28.3,24,88.4,2.889,100,4.17,rain,0,0,24.1,11.2,209.7,1011.1,74,10.5,197.2,17,8,60,2023-10-02T06:08:54,2023-10-02T18:12:12,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-03,31,22.7,25.5,36.4,22.7,26.7,23.9,91.8,23.447,100,12.5,rain,0,0,22.7,14.5,212.3,1011.2,81.1,9.9,29.7,2.7,2,10,2023-10-03T06:08:46,2023-10-03T18:11:42,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-04,29.2,22,25.7,33.7,22,26.8,23.4,87.9,0.2,100,4.17,rain,0,0,28.4,14.8,216.7,1011.5,74.7,10.6,197.4,17,7,30,2023-10-04T06:08:39,2023-10-04T18:11:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-05,31.1,21.8,26.3,37.9,21.8,28.4,23.6,85.9,0.193,100,4.17,rain,0,0,13,14.8,208.1,1011.6,83.8,11.7,274.7,23.8,10,60,2023-10-05T06:08:31,2023-10-05T18:10:42,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-06,31.4,22.5,26.1,37.9,22.5,27.9,24,89.4,0.963,100,4.17,rain,0,0,8.6,11.2,246.5,1011.3,77.5,10.4,214.6,18.5,9,60,2023-10-06T06:08:24,2023-10-06T18:10:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-07,33.7,22.7,26,44,22.7,27.6,23.9,88.8,13.595,100,8.33,rain,0,0,18.4,14.8,219,1011.6,87.4,8.4,68.1,5.7,5,10,2023-10-07T06:08:18,2023-10-07T18:09:45,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-08,31.1,22.6,26.3,36.7,22.6,28.1,23.8,87.1,20.706,100,12.5,rain,0,0,23.4,14.8,216,1012.3,83.7,9.7,179.1,15.3,8,30,2023-10-08T06:08:11,2023-10-08T18:09:17,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-09,31.1,22.5,25.7,37.9,22.5,27,23.6,88.5,2.533,100,8.33,rain,0,0,24.8,7.6,238.7,1013.6,83.1,10.4,125.2,10.9,8,30,2023-10-09T06:08:05,2023-10-09T18:08:49,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
